ID;Topicp_1;Topico_2;Topico_3;retweet_count;reply_count;like_count;quote_count;impression_count;bookmark_count
166;havolinedeport;Ecuador;CoreaDelSur;0;0;0;0;0;
167;AGEcuador;Ecuador;CoreadelSur;0;0;0;0;0;
168;magiandtarot;Mufa;Laburo;0;0;0;0;0;
169;TyCSports;Eliminación;Marca;0;0;0;0;0;
170;MundialSub20;FinDeSueño;Eliminación;1;0;0;0;0;
171;Uruguay;MundialSub20;Garracharrúa;2;0;0;0;0;
172;Ecuador;CoreaDelSur;MundialSub20;0;0;0;0;0;
173;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
174;CoreadelSur;LaTri;MundialSub20;0;0;0;0;0;
175;ESPNEcuador;LaTri;CoreaDelSur;0;0;0;0;0;
176;Sub20;Uruguay;EstadosUnidos;0;0;0;0;0;
177;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
178;Nigeria;Argentina;MundialSub20;3;0;0;0;0;
179;TyCSports;MundialSub20;Transmisión;0;0;0;0;0;
180;Ecuador;Corea del Sur;MundialSub20;0;0;0;0;0;
181;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
182;Argentina;;;0;0;0;0;0;
183;MundialSub20;Argentina;Colo Barco;0;0;0;0;0;
184;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
185;Corea del Sur;Ecuador;MundialSub20;0;0;0;0;0;
186;Maradona;opinión;teoría;0;0;0;0;0;
187;Ecuador;Corea;MundialSub20;0;0;0;0;0;
188;Corea del Sur;Ecuador;MundialSub20;0;0;0;0;0;
189;Barcelona;Díaz;Bustos;0;0;0;0;0;
190;Ecuador;Cores del Sur;MundialSub20;1;0;0;0;0;
191;Ecuador;Corea del Sur;MundialSub20;0;0;0;0;0;
192;MundialSub20;Gobernador;Federación de Fútbol;0;0;0;0;0;
193;Corea del Sur;Ecuador;MundialSub20;7;0;0;0;0;
194;MundialSub20;Uruguay;Gambia;0;0;1;0;0;
195;Uruguay;Gambia;MundialSub20;1;0;0;0;0;
196;Santiago del Estero;Uruguay;Gambia;0;0;0;0;0;
197;NBA;MundialSub20;SuperligaArgentina;0;0;0;0;0;
198;MundialSub20;Argentina2023;Gambia;0;0;0;0;0;
199;Ecuador;Corea del Sur;MundialSub20;0;0;0;0;0;
200;Ecuador;Corea del Sur;MundialSub20;0;0;0;0;0;
201;Santiago del Estero;Uruguay;Gambia;0;0;0;0;0;
202;MundialSub20;Ecuador;LaTri;12;0;0;0;0;
203;Ecuador;Corea del Sur;MundialSub20;0;0;0;0;0;
204;Ecuador;Corea del Sur;MundialSub20;0;0;0;0;0;
205;Argentina;MundialSub20;doble moral;0;0;0;0;0;
206;Uruguay;Gambia;MundialSub20;1;0;0;0;0;
207;MundialSub20;Uruguay;cuartos de final;0;0;0;0;0;
208;MundialSub20;Uruguay;prensa europea;0;0;0;0;0;
209;TyCSports;defensa;Colo Barco;1;0;0;0;0;
210;Ecuador;Titulares;MundialSub20;0;0;0;0;0;
211;AIRTM;Pagos;Bitcoin;0;0;0;0;0;
212;Argentina;Ecuador;CoreaDelSur;0;0;0;0;0;
213;Alineaciones;Ecuador;CoreadelSur;0;0;0;0;0;
214;LaTri;OncenaTitular;MundialSub20;0;0;0;0;0;
215;Relator;Comentaristas;MundialSub20;0;0;0;0;0;
216;MadredeCiudades;Presidentes;OctavosDeFinal;0;0;0;0;0;
217;MadredeCiudades;Presidentes;Uruguaya;0;0;0;0;0;
218;Uruguay;CuartosDeFinal;MundialSub20;0;0;0;0;0;
219;CombinadaAcertada;Bundesliga;MundialSub20;328;0;0;0;0;
220;PeriodistasDeportivos;Uruguayos;Mundial;0;0;0;0;0;
221;Formaciones;Ecuador;CoreaDelSur;0;0;0;0;0;
222;EfectoSingapur;Impunidad;Venezuela;0;0;0;0;0;
223;Festejo;Llorones;Nargentinos;0;0;0;0;0;
224;Titulares;Ecuador;MundialSub20;0;0;0;0;0;
225;Ecuador;CoreaDelSur;MundialSub20;1;0;0;0;0;
226;Uruguay;EntreLosOchoMejores;MundialSub20;0;0;0;0;1;
227;Uruguay;EntreLosOchoMejores;MundialSub20;0;0;0;0;0;
228;Bardearlo;Barco;Pibe;0;0;1;0;0;
229;JuntosRegresaremos;MundialSub20;Ecuador;0;0;0;0;0;
230;Titulares;Ecuador;Banquillo;0;0;0;0;0;
231;Tricolor;CoreaDelSur;MundialSub20;0;0;0;0;0;
232;Venezuela;Boca;Argentina;0;0;0;0;0;
233;Estrategia;Ecuador;Coreanos;0;0;0;0;0;
234;TyCSports;Jugador;Inflar;0;0;0;0;0;
235;PropioSueño;MundialSub20;Ecuador;0;0;0;0;0;
236;Relator;Comentarista;MundialSub20;0;0;0;0;0;
237;Gobernador;Grande;GZamoraSDE;0;0;0;0;0;
238;FIFA;Actuar;Oficio;0;0;0;0;0;
239;MarceloBroli;Equipo;Victoria;0;0;0;0;0;
240;Uruguay;campeonato;Copa América;0;0;0;0;0;
241;Anderson Duarte;golazo;confianza;0;0;0;0;0;
242;Alan Minda;;;0;0;0;0;0;
243;Argentina;Nigeria;eliminación;0;0;0;0;0;
244;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
245;seguridad;Ecuador;CoreadelSur;0;0;0;0;0;
246;Ecuador;expectativas;MundialSub20;0;0;0;0;0;
247;Nigeria;Argentina;polémica;0;0;0;0;0;
248;CoreaDelSur;MundialSub20;;0;0;0;0;0;
249;Kendry Páez;Ecuador;joven promesa;0;0;0;0;0;
250;LaTri;MundialSub20;;0;0;0;0;0;
251;MundialSub20;Argentina;Nigeria;0;0;0;0;0;
252;;;;0;0;0;0;0;
253;Ecuador;KOR;MedioTiempo;0;0;0;0;0;
254;ECUADOR;KOREA DEL SUR;MundialSub20;1;0;0;0;0;
255;Ecuador;himno;MundialSub20;0;0;0;0;0;
256;Nigeria;Argentina;MundialSub20;0;0;0;0;0;
257;Ecuador;MundialSub20;;0;0;0;0;0;
258;MundialSub20;Ecuador;Corea;0;0;0;0;0;
259;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
260;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
261;Korea del sur;Super Campones;MundialSub20;0;0;0;0;0;
262;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
263;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
264;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
265;fútbol;PuntajeIdealEC;comentaristas;0;0;0;0;0;
266;Mini Tri;MundialSub20;;14;0;0;0;0;
267;Ecuador;MundialSub20;;1;0;0;0;0;
268;Tri Sub 20;buen papel;MundialSub20;0;0;0;0;0;
269;Mascherano;Chiqui Tapia;ausencias;0;0;0;0;0;
270;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
271;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
272;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
273;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
274;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
275;MundialSub20;Ecuador;KendryPaez;0;0;0;0;0;
276;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
277;MundialSub20;Uruguay;EstadosUnidos;0;0;0;0;0;
278;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
279;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
280;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
281;MundialSub20;Ecuador;CoreaDelSur;1;0;0;0;0;
282;MundialSub20;Ecuador;CoreaDelSur;1;0;0;0;0;
283;MundialSub20;ECUvsCOR;LaRadioQueSiempreEstá;0;0;0;0;0;
284;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
285;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
286;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
287;MundialSub20;Ecuador;CoreaDelSur;1;0;0;0;0;
288;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
289;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
290;MundialSub20;LaTri;CoreadelSur;0;0;0;0;0;
291;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
292;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
293;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
294;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
295;marcadorec;VendedorDeHumo;;0;0;0;0;0;
296;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
297;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
298;MundialSub20;Minitri;KendryPaez;0;0;0;0;0;
299;MundialSub20;Uruguay;EstadosUnidos;0;0;0;0;0;
300;DeportesTolima;LigaBetPlay;Noticias;0;0;0;0;0;
301;Ecuador;CoreadelSur;Mundialsub20;0;0;0;0;0;
302;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
303;Santiago;Estero;MundialSub20;0;0;0;0;0;
304;Mascherano;SeleccionArgentina;Mundialsub20;0;0;0;0;0;
305;MundialSub20;Ecuador;Corea;0;0;0;0;0;
306;Ecuador;CoreadelSur;Mundialsub20;4;0;0;0;0;
307;Ecuador;CoreadelSur;Mundialsub20;0;0;1;0;0;
308;MundialSub20;Ecuador;Corea;0;0;0;0;0;
309;SpiderVerse;Mundialsub20;Uk;0;0;0;0;0;
310;Barco;MundialSub20;Deportes;0;0;0;0;0;
311;Tri;MundialSub20;Gol;1;0;0;0;0;
312;Tri;Mundialsub20;Gana;0;0;0;0;0;
313;REDato;Ecuador;MundialSub20;0;0;0;0;0;
314;MundialSub20;Entenados;Calamar;0;0;0;0;0;
315;EdgarBaezP;Gol;MundialSub20;0;0;0;0;0;
316;LaTri;MundialSub20;FIFAWorldCup;0;0;0;0;0;
317;MundialSub20;Gobernador;Uruguay;0;0;0;0;0;
318;MundialSub20;Mendoza;FIFAU20WorldCup;0;0;0;0;0;
319;TyCSports;Máquina;Detiene;0;0;0;0;0;
320;ECU;COR;MundialSub20;0;0;0;0;0;
321;AUR;JSCT;FOROINTERNACIONAL;0;0;0;0;0;
322;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
323;Ecuador;KoreadelSur;MundialSub20;0;0;0;0;0;
324;ECUvsCOR;MundialSub20;LaRadioQueSiempreEstá;0;0;0;0;0;
325;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
326;COR;ECUvsCOR;MundialSub20;0;0;0;0;0;
327;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
328;CoreaDelSur;MundialSub20;Ecuador;0;0;0;0;0;
329;MundialSub20;Ecuador;CoreaDelNorte;0;0;0;0;0;
330;Gol;CoreaDelSur;MundialSub20;0;0;0;0;0;
331;Gol;CoreaDelSur;MundialSub20;0;0;0;0;0;
332;Gol;CoreaDelSur;MundialSub20;0;0;0;0;0;
333;Gol;CoreaDelSur;MundialSub20;0;0;0;0;0;
334;Ecuador;MundialSub20;Decepción;0;0;0;0;0;
335;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
336;Golazo;CoreaDelSur;LaTri;0;0;0;0;0;
337;Gol;CoreaDelSur;Ecuador;1;0;0;0;0;
338;KPáez;Individualista;Engaño;0;0;0;0;0;
339;Ecuador;CoreaDelSur;MundialSub20;0;0;0;0;0;
340;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
341;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
342;Ecuador;CoreaDelSur;MundialSub20;0;0;0;0;0;
343;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
344;MarcadorEC;Comentario;MundialSub20;0;0;0;0;0;
345;Golazo;CoreaDelSur;MundialSub20;0;0;0;0;0;
346;Gol;CoreaDelSur;MundialSub20;0;0;0;0;0;
347;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
348;TiroDeEsquina;ECUvsCOR;MundialSub20;0;0;0;0;0;
349;Remate;Ecuador;CoreaDelSur;0;0;0;0;0;
350;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
351;Pelotazos;MundialSub20;Juego;0;0;0;0;0;
352;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
353;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
354;Garcia;Equilibrio;MundialSub20;0;0;0;0;0;
355;Gol;CoreaDelSur;LaTri;0;0;0;0;0;
356;Gol;CoreaDelSur;MundialSub20;0;0;0;0;0;
357;Gol;CoreaDelSur;Ecuador;0;0;0;0;0;
358;Defensa;Ecuador;MundialSub20;4;0;0;0;0;
359;Korea;Ecuador;MundialSub20;0;0;0;0;0;
360;Racismo;Insulto;Discriminación;0;0;0;0;0;
361;Series;Televisión;Entretenimiento;0;0;0;0;0;
362;Fútbol;Goles;Deportes;0;0;0;0;0;
363;Fútbol;Error;Gol;1;0;0;0;0;
364;Fútbol;Dominio;Corea;1;0;0;0;0;
365;Fútbol;Gol;Corea;1;0;0;0;0;
366;Fútbol;Corea;Goles;0;0;0;0;0;
367;Fútbol;Jugadores;Crítica;0;0;0;0;0;
368;Fútbol;Gol;Corea;0;0;0;0;0;
369;Redes sociales;Películas;Deportes;0;0;0;0;0;
370;Fútbol;Crítica;Ecuador;0;0;0;0;0;
371;Fútbol;Gol;Corea;0;0;0;0;0;
372;Fútbol;Entrenador;Comentario;0;0;0;0;0;
373;Fútbol;Golazo;Corea;0;0;0;0;0;
374;Fútbol;Dominio;Corea;0;0;0;0;0;
375;Fútbol;Gol;Corea;0;0;0;0;0;
376;Fútbol;Corea;Dominio;0;0;0;0;0;
377;Fútbol;Gol;Corea;0;0;0;0;0;
378;Fútbol;Precisión;Corea;0;0;0;0;0;
379;Fútbol;Gol;Corea;0;0;0;0;0;
380;Fútbol;Golazo;Corea;0;0;0;0;0;
381;Fútbol;Sorpresa;Ecuador;0;0;0;0;0;
382;Fútbol;Dominio;Corea;0;0;0;0;0;
383;Fútbol;Errores;Defensa;0;0;0;0;0;
384;Fútbol;Ataque;Corea;0;0;0;0;0;
385;Fútbol;Gol;Corea;0;0;0;0;0;
386;Fútbol;Crítica;Selección;0;0;0;0;0;
387;Fútbol;Eliminación;Desilusión;1;0;0;0;0;
388;Fútbol;Toque;Gol;1;0;0;0;0;
389;Fútbol;Gol;Corea;17;0;0;0;0;
390;MundialSub20;Coreano;;5;0;0;0;0;
391;CoreaDelSur;MundialSub20;Golazos;0;0;0;0;0;
392;KoreadelSur;MundialSub20;Gol;0;0;0;0;0;
393;Ecuador;Korea;MundialSub20;0;0;0;0;0;
394;BaeJoon-Ho;CoreaDelSur;MundialSub20;0;0;0;0;0;
395;Ecuador;MundialSub20;Laterales;0;0;0;0;0;
396;GOOOLLL;Jun-HoBae;CoreadelSur;0;0;0;0;0;
397;MundialSub20;EscaleraalCielo;TresFamilias;0;0;0;0;0;
398;MundialSub20;Ecuador;Corea;1;0;0;0;0;
399;Páez;Fiji;Honduras;0;0;0;0;0;
400;Ecuador;KOR;MundialSub20;1;0;0;0;0;
401;MundialSub20;KoreadelSur;Ecuador;0;0;2;0;0;
402;CoreadelSur;MundialSub20;Golazos;1;0;0;0;0;
403;MundialSub20;Korea;Goles;0;0;0;0;0;
404;CoreaDelSur;MundialSub20;Gol;0;0;0;0;0;
405;CoreaDelSur;MundialSub20;Gol;1;0;0;0;0;
406;Ecuador;Corea;MundialSub20;0;0;0;0;0;
407;Ecuador;Marcadorderecho;MundialSub20;0;0;0;0;0;
408;CoreadelSur;MundialSub20;Campeonar;0;0;0;0;0;
409;MundialSub20;CoreaDelSur;Gol;0;0;0;0;0;
410;Ecuador;CoreaDelSur;MundialSub20;0;0;0;0;0;
411;Ecuador;MundialSub20;Jugadores;0;0;0;0;0;
412;Fiji;Ecuador;MundialSub20;0;0;0;0;0;
413;Ecuador;CoreaDelSur;MundialSub20;0;0;0;0;0;
414;Fiji;Ecuador;MundialSub20;0;0;0;0;0;
415;MundialSub20;CoreaDelSur;Gol;0;0;0;0;0;
416;MundialSub20;CoreaDelSur;Juego;0;0;0;0;0;
417;Korea;MundialSub20;Ecuador;0;0;0;0;0;
418;Asiático;MundialSub20;CoreaDelSur;0;0;0;0;0;
419;Ecuador;PolicíaNacional;AtaquesTerroristas;0;0;0;0;0;
420;risa;sorpresa;internet;0;0;0;0;0;
421;fútbol;jugador;Korea;0;0;0;0;0;
422;advertencia;medios;exageración;0;0;0;0;0;
423;fútbol;gol;CoreaDelSur;0;0;0;0;0;
424;sorpresa;MundialSub20;Ecuador;0;0;0;0;0;
425;fútbol;EstadosUnidos;cuartosdefinal;0;0;0;0;0;
426;entrenamiento;MundialSub20;CoreadelSur;0;0;0;0;0;
427;MundialSub20;Argentina;Nigeria;0;0;0;0;0;
428;expresión;confusión;comentario;0;0;0;0;0;
429;MundialSub20;Uruguay;Uzbekistán;0;0;0;0;0;
430;Uruguay;entrenamiento;MundialSub20;0;0;0;0;0;
431;fútbol;EEUU;trabajo;0;0;0;0;0;
432;opinión;MundialSub20;candidatos;0;0;0;0;0;
433;MundialSub20;Uruguay;viaje;0;0;0;0;0;
434;Uruguay;entrenamiento;SantiagoDelEstero;0;0;0;0;0;
435;fútbol;EstadosUnidos;NuevaZelanda;0;0;0;0;0;
436;MundialSub20;EstadosUnidos;NuevaZelanda;0;0;0;0;0;
